ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,SPEED_LIMIT,ROUTE_NE_ID,OBJECTID,GlobalID,GEOLOCSTLength
1104118,Danja Rise,Danja Rise,0,0.19,Single,0,0.19,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,211202,22633250,{7A67AAE1-6F99-4CB6-A6FC-7A7E65E7477A},0.00161401363428169
1104093,McNamara Pl,McNamara Pl,0,0.27,Single,0,0.27,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,37408971,22633251,{F829205A-BECD-4A43-BA63-9E87CD8CD409},0.00254542528540169
1100847,Shelvock Cr,Shelvock Cr,0,0.4,Single,0,0.4,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,238748,22633252,{55A5C123-DD7C-4A5A-966E-D2EFA09B170B},0.0038801159397042
1100845,Meldrum Wy,Meldrum Wy,0,0.44,Single,0,0.44,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,228176,22633253,{26B349BF-CE20-4A51-A026-C88F7E5DFE9E},0.00441646532460128
1100405,Beverley Cr,Beverley Cr,0,0.34,Single,0,0.34,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,203875,22633254,{22FD03FB-7774-4E8F-BAFB-2C8F8468559C},0.00330282656104874
1100204,Archer St,Archer St,0,0.86,Single,0,0.86,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,201400,22633255,{217456D7-0814-4159-B650-0E096335BF02},0.00779859403474409
1107833,Cruiser Turn Spur,Cruiser Turn Spur,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,372476485,22633256,{CD584DF4-2CC2-4EC0-9BFC-D0FF59C8ABE5},0.000700002857137026
1107047,Woodroffe Pl,Woodroffe Pl,0,0.03,Single,0,0.03,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,46473164,22633257,{01E8E6A4-1883-4161-97E9-D3D41EC8DD67},0.000316135937939697
1107044,Linto Wy Spur A,Linto Wy Spur A,0,0.05,Single,0,0.05,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,46473153,22633258,{ACFAB803-B67C-4493-B3CF-A758FB19C431},0.000437323678755221
1107040,Masthead Cl Spur A,Masthead Cl Spur A,0,0.03,Single,0,0.03,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,37464033,22633259,{C9337936-B83F-4488-8D36-2012728D1AC2},0.000300979100077348
1107033,Ornata Bend,Ornata Bend,0,0.03,Single,0,0.03,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,32794975,22633260,{02777721-4583-403A-8D42-5C80CC621667},0.000273859391363861
1107029,Worley Cl Spur West,Worley Cl Spur West,0,0.05,Single,0,0.05,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,20780514,22633261,{A13AC22E-2B1E-4660-8AD6-17D445DEB586},0.000535075695579607
1106815,Dorade L,Dorade L,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,462447545,22633262,{36665FA5-B4BC-4843-952C-C1C3D13FB57D},0.000864002314811714
1106804,Sooty L,Sooty L,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,462331763,22633263,{FB39F652-8547-40CE-9F6E-0D3C4A630693},0.000704538533031249
1106398,Berth Link,Berth Link,0,0.04,Single,0,0.04,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,454465273,22633264,{20780B06-AA62-4638-B6C4-386F547C5AAB},0.000358201060858284
1106390,Millbrook Pwy,Millbrook Pwy,0,0.16,Single,0,0.16,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,367164134,22633265,{922A462A-D7B6-4DDF-BB20-EB5FEFD0A25B},0.00166330177925769
1106387,Corbally L,Corbally L,0,0.24,Single,0,0.24,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,367159796,22633266,{10798D1E-D879-4FD7-90BC-BBB102C49F9F},0.00222158887788236
1106278,Alhambra Pwy,Alhambra Pwy,0,0.827,Single,0,0.827,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,454470885,22633267,{0B8A4087-5932-421A-B55D-7CDA07437003},0.00788879596043542
